Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Middle East & North Africa (excluding high income);42.72833714;42.34639854;41.994685;41.65570395;41.3110903;40.94904518;40.65755663;40.36249777;40.0597743;39.75833612;39.39836945;39.05831535;38.72947481;38.40945248
Montenegro;37.535;37.197;36.861;36.525;36.192;35.86;35.528;35.196;34.863;34.529;34.194;33.859;33.523;33.187
Mongolia;37.506;36.465;35.436;34.419;33.42;32.433;32.037;31.97;31.903;31.837;31.77;31.703;31.637;31.555
Northern Mariana Islands;9.442;9.362;9.284;9.205;9.128;9.051;8.972;8.892;8.81;8.727;8.643;8.557;8.47;8.382
Mozambique;70.001;69.818;69.636;69.168;68.672;68.17;67.664;67.154;66.64;66.122;65.6;65.074;64.545;64.012
Mauritania;57.889;57.002;56.11;55.212;54.314;53.412;52.507;51.6;50.694;49.797;48.911;48.038;47.176;46.328
Mauritius;57.888;58;58.111;58.223;58.334;58.445;58.556;58.668;58.778;58.889;59;59.09;59.159;59.207
Malawi;84.946;84.856;84.765;84.674;84.571;84.456;84.328;84.188;84.034;83.868;83.687;83.494;83.286;83.063
Malaysia;33.406;32.517;31.64;30.775;29.925;29.088;28.391;27.725;27.07;26.423;25.787;25.16;24.553;23.964
North America;20.04899078;19.88590347;19.71467009;19.54442041;19.37524766;19.20801404;19.03735653;18.87569807;18.70962744;18.54013363;18.36691735;18.19124933;18.01038263;17.82695452
Namibia;63.368;62.39;61.402;60.403;59.399;58.384;57.363;56.307;55.244;54.174;53.1;52.039;50.995;49.968
New Caledonia;36.035;35.362;34.694;34.031;33.376;32.898;32.435;31.976;31.521;31.069;30.621;30.179;29.744;29.317
Niger;83.758;83.762;83.766;83.771;83.775;83.779;83.784;83.788;83.792;83.781;83.753;83.71;83.65;83.575
Nigeria;60.926;60.057;59.181;58.298;57.412;56.52;55.634;54.754;53.882;53.018;52.162;51.317;50.481;49.656
Nicaragua;44.065;43.868;43.672;43.475;43.279;43.083;42.887;42.691;42.495;42.3;42.105;41.91;41.701;41.478
Netherlands;17.37;16.364;15.461;14.598;13.712;12.866;12.121;11.412;10.813;10.31;9.827;9.365;8.923;8.51
Norway;22.325;22.05;21.766;21.474;21.185;20.898;20.545;20.126;19.714;19.308;18.909;18.515;18.129;17.752
Nepal;84.851;84.538;84.219;83.895;83.566;83.232;82.892;82.542;82.185;81.818;81.443;81.058;80.664;80.26
Nauru;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New Zealand;13.659;13.6;13.66;13.72;13.78;13.84;13.9;13.839;13.779;13.719;13.659;13.6;13.534;13.462
OECD members;22.49173247;22.16663409;21.85934647;21.56062974;21.2708428;20.98764795;20.76567239;20.5728611;20.38282969;20.19330582;19.9993333;19.80296079;19.60326781;19.40107168
Oman;27.6;27.033;26.473;25.92;25.376;24.839;23.817;22.436;21.118;19.855;18.65;17.5;16.44;15.461
