Country Name;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Maldives;3460;4540;4480;5410;5460;5960;6600;6630;6800;7320;7650;8070;8570;9140
Middle East & North Africa;4148.001852;4720.966996;5443.764898;6339.323208;6538.590494;6962.219462;7364.550241;8286.110649;8768.283404;8747.236999;8088.615287;7714.717037;7289.198003;7652.128022
Mexico;8050;8690;9250;9780;8820;9040;9310;10050;10270;10510;10170;9400;8930;9180
Marshall Islands;3460;3380;3510;3390;3480;3600;3600;3510;3900;4070;4310;4280;4460;4860
Middle income;1834.02552;2129.112579;2520.656592;2970.074792;3199.519148;3580.676432;3989.154415;4526.494764;4901.801021;5073.611999;4951.859422;4858.818874;4950.348702;5310.424847
North Macedonia;2990;3310;3580;4330;4610;4700;4810;4740;5000;5200;5110;4980;4920;5470
Mali;460;500;530;610;660;690;730;730;780;810;800;780;770;840
Malta;15590;16300;17730;19950;19520;20540;21440;21650;22710;24260;24680;23580;23570;26350
Myanmar;270;290;350;470;640;850;1010;1130;1220;1230;1260;1280;1290;1370
Middle East & North Africa (excluding high income);2154.888449;2428.0791;2842.353651;3357.808738;3676.411092;3992.912627;4100.594551;4577.742095;4743.936491;4617.992395;4169.759981;4103.504058;3860.744557;
Montenegro;3660;4320;5120;6470;6740;6930;7250;7000;7330;7320;7260;7090;7410;8440
Mongolia;900;1120;1410;1800;1790;2000;2590;3650;4330;4210;3820;3500;3230;3630
Northern Mariana Islands;;;;;;;;;;;;;;
Mozambique;390;420;450;500;540;520;550;600;670;690;640;530;470;460
Mauritania;940;1150;1230;1380;1440;1500;1600;1760;1850;1750;1640;1510;1500;1580
Mauritius;5600;5930;6490;7400;7800;8080;8400;9550;10520;10820;10700;10640;10980;12040
Malawi;300;310;330;370;410;450;490;460;410;370;350;340;340;350
Malaysia;5270;5840;6630;7510;7600;8260;9050;10180;10840;11140;10680;10150;9940;10590
North America;45086.62572;46968.11453;47975.37054;48665.23135;47302.04815;48556.5889;50248.44405;52602.379;53844.55234;55490.93984;55827.00639;55856.47768;57449.54038;61357.43368
Namibia;3530;4040;4210;4310;4260;4510;5150;5680;5910;5760;5290;4700;4610;4900
New Caledonia;;;;;;;;;;;;;;
Niger;310;340;360;420;450;480;480;520;540;550;520;500;490;540
Nigeria;1030;1350;1610;1960;2040;2140;2190;2460;2720;2990;2880;2470;2100;1970
Nicaragua;1160;1200;1290;1390;1380;1460;1570;1690;1780;1850;1910;2000;2080;2020
Netherlands;42050;45910;49110;52670;53670;53900;54480;52930;52950;51980;49810;46900;47140;51310
Norway;63790;69990;78500;87520;87910;88560;90420;99220;104330;104560;93110;81810;76210;80640
Nepal;310;340;370;430;480;540;610;700;750;770;780;770;860;970
Nauru;;;;;;;;8750;12260;12950;11390;10220;10160;12040
New Zealand;25440;26400;28170;28680;29710;29690;32270;36730;39910;41630;40560;39390;38170;41100
OECD members;30978.15135;32511.89065;33770.32929;35150.39761;34504.3856;35424.97082;36582.51577;37731.00356;38369.32934;38485.66201;37369.70725;36465.05193;36596.76991;38941.38857
Oman;10620;11510;14490;17430;17740;18500;16760;19190;20320;19170;17790;15810;14020;14160
Other small states;6865.669167;8308.414865;9776.731054;11178.86881;11019.37289;11510.30667;12477.13336;13805.74991;14832.74072;15021.016;14038.34931;12910.74201;12395.09479;13191.14279
Pakistan;770;830;890;970;1010;1030;1090;1200;1290;1320;1360;1420;1500;1590
Panama;4790;5100;5770;6540;6900;7260;8550;9540;10630;11190;12200;12780;13750;14420
Peru;2540;2810;3210;3790;3970;4410;4970;5790;6420;6530;6340;6110;6060;6470
Philippines;1380;1490;1720;2000;2170;2370;2520;2860;3160;3330;3380;3450;3530;3710
Palau;10570;10760;11660;11640;11200;11430;12140;12590;12830;14020;16180;16870;16400;17280
Papua New Guinea;650;790;1070;1400;1510;1740;1820;2270;2500;2990;2910;2700;2570;2570
Poland;7350;8470;9970;11970;12530;12770;12950;13300;13530;13680;13350;12680;12740;14150
Pre-demographic dividend;669.2815576;803.7629626;955.6384478;1165.776291;1248.204408;1315.037597;1364.484176;1539.762081;1674.50021;1760.436548;1676.340159;1524.746138;1384.393122;1371.548539
Puerto Rico;14750;15030;15860;16360;16580;16920;17670;18680;19170;19280;19420;19710;20000;21030
Korea;;;;;;;;;;;;;;
Portugal;18580;19390;20850;22590;22920;22960;22720;21150;21370;21190;20440;19930;20050;21990
Paraguay;1520;1840;2320;3080;3450;4070;4480;4760;5510;5780;5620;5390;5390;5620
West Bank and Gaza;1660;1570;1700;1900;2080;2330;2720;3020;3190;3270;3380;3460;3520;3710
Pacific island small states;2585.249026;2662.0015;2798.907624;2948.981904;2866.555463;2840.900386;2991.606765;3294.895936;3666.383376;3811.821518;3905.370019;3899.687387;3944.370477;4163.842955
Post-demographic dividend;35142.19158;36844.10889;38214.56513;39736.50439;39100.43698;40200.99375;41566.03257;42849.6028;43591.3976;43748.90106;42543.43912;41717.18884;42073.77831;44949.08351
French Polynesia;;;;;;;;;;;;;;
Qatar;38260;50810;58030;65580;61250;63620;66950;72860;78800;79900;72690;64010;58610;61150
Romania;3880;4900;6510;8800;9220;8640;8660;8780;9320;9680;9650;9650;10110;11430
Russian Federation;4450;5810;7560;9580;9230;9980;11060;13490;15190;14630;11780;9730;9210;10250
Rwanda;280;330;390;490;560;610;660;710;730;740;750;750;740;780
South Asia;691.4048292;765.4138137;874.8280261;953.5493701;1058.607212;1153.256313;1283.571509;1397.599375;1444.827778;1489.38221;1535.532652;1614.446622;1746.469846;1915.430049
Saudi Arabia;12650;14160;15800;18460;17900;18750;20880;24040;25440;25550;23710;21610;19990;21600
Sudan;600;700;910;1080;1150;1190;1350;1540;1490;1560;1690;1570;1320;840
Senegal;1000;1040;1120;1270;1340;1340;1310;1330;1360;1380;1320;1270;1280;1400
Singapore;28820;32550;36010;37230;37320;44930;48290;51740;54480;56380;53160;53020;54320;57900
Solomon Islands;890;970;960;980;820;900;1080;1490;1770;1840;1870;1830;1870;2020
Sierra Leone;290;300;360;420;440;420;430;530;660;700;550;490;520;490
El Salvador;2420;2570;2680;2870;2820;2880;3060;3210;3350;3400;3440;3510;3600;3820
San Marino;;;;;;;;;;;;;;
Somalia;;;;;;;;;;;;;;
Serbia;3830;4200;4890;6040;6450;6220;6300;6090;6460;6240;5960;5690;5550;6400
Sub-Saharan Africa (excluding high income);893.7749644;1038.70341;1171.533805;1322.322546;1367.020498;1433.644746;1519.137957;1660.557541;1747.171834;1799.33304;1718.77275;1566.567443;1477.210238;1494.321852
South Sudan;;;;;;;810;850;1160;1250;1090;;;
Sub-Saharan Africa;902.5335595;1047.711101;1180.937174;1332.549039;1377.408907;1444.085853;1529.647239;1672.290663;1759.91075;1812.14478;1731.296437;1578.910569;1489.832236;1507.978343
Small states;6584.414121;7791.250132;9013.924107;10221.40025;10034.96842;10425.57938;11132.35913;12285.66985;13167.24048;13319.80282;12607.065;11661.60468;11271.15831;11943.04084
Sao Tome and Principe;820;940;960;1020;1060;1130;1190;1240;1440;1640;1660;1700;1700;1890
Suriname;3320;4040;5050;6330;6960;7620;7920;8550;8950;9260;8690;6590;5400;5210
Slovak Republic;11350;12940;14930;17250;17100;17400;17420;17780;18220;18310;17670;16790;16580;18330
Slovenia;18310;19820;21790;24620;24380;24540;24580;23250;23230;23610;22250;21750;22110;24530
Sweden;45490;48820;51970;55480;52470;54580;56570;58930;61580;61690;58250;54370;52970;55620
Eswatini;3080;3300;3480;3360;3320;3460;4080;4590;4660;4320;4000;3470;3440;3600
Sint Maarten (Dutch part);;;;;;;;;;;;;;
Seychelles;11140;12580;12280;11180;10230;10220;10570;11540;12700;13350;14020;13840;14310;15670
Syrian Arab Republic;1510;1620;1820;;;;;;;;;;;
Turks and Caicos Islands;;;;;;;;;;22600;23800;25040;25410;26740
Chad;470;530;630;700;830;910;880;960;970;980;880;730;640;680
East Asia & Pacific (IDA & IBRD countries);1654.747147;1914.845618;2297.911598;2800.02945;3248.944919;3799.137819;4388.09695;5128.860387;5768.508314;6276.36146;6540.85021;6751.951269;7092.333377;7780.402136
Europe & Central Asia (IDA & IBRD countries);4118.231448;5038.81101;6206.594415;7560.407426;7524.972399;7978.214366;8559.900761;9655.610181;10536.51102;10477.80835;9250.546137;8180.139864;7912.781322;8426.523156
Togo;400;410;420;470;530;560;610;590;620;640;640;610;600;660
Thailand;2790;3100;3530;3970;4140;4580;4950;5520;5720;5760;5710;5700;5960;6600
Tajikistan;380;470;580;750;800;920;1020;1150;1330;1350;1250;1100;1010;1000
Turkmenistan;1590;1890;2320;3040;3550;4070;4730;5560;6510;7200;7030;6820;6380;6740
