Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Czechia;0.487307638;0.35658446;0.30260253;0.358293951;0.386209816;0.331638575;0.341793329;0.272268176;0.228798985;0.36779505;0.433735937;0.536757231;0.567682743;0.503815472
Germany;1.885012746;1.803052306;1.735840321;1.759812832;1.755257964;1.776269913;1.743272901;1.829577088;1.813810706;1.838379741;1.837888479;1.843417764;1.841110229;1.946861625
Djibouti;-0.710424066;-0.66229707;-0.543849289;-0.327979743;-0.368076384;-0.404465258;-0.410028398;-0.462367356;-0.542081892;-0.599377871;-0.657626152;-0.653480232;-0.640725851;-0.716890216
Dominica;0.662807524;0.615135312;0.623109281;0.678718925;0.726198554;0.708867908;0.709491849;0.664162338;0.666661501;0.624051988;0.623423576;0.624967098;0.651533723;0.54582274
Denmark;2.288494587;2.46999073;2.446026087;2.393063545;2.446495295;2.358993053;2.404429197;2.381078959;2.404900789;2.247260332;2.211076021;2.23059082;2.193403959;2.148100376
Dominican Republic;-0.690175951;-0.700955391;-0.747674048;-0.725965321;-0.778066635;-0.843630075;-0.812097371;-0.859959841;-0.874585688;-0.816102564;-0.8184461;-0.756376147;-0.738923192;-0.756498933
Algeria;-0.482172012;-0.521335125;-0.559928894;-0.594569385;-0.577883422;-0.524849832;-0.544584811;-0.503217578;-0.473484129;-0.600028992;-0.645566881;-0.677892506;-0.601742327;-0.630162418
Ecuador;-0.712955058;-0.751305938;-0.771818876;-0.687103808;-0.804220438;-0.773099005;-0.708450615;-0.578062117;-0.570954144;-0.754930556;-0.671253264;-0.680326343;-0.59962666;-0.565624297
Egypt, Arab Rep.;-0.624449253;-0.747485101;-0.762017548;-0.779131889;-0.515469074;-0.631366074;-0.695504189;-0.598087668;-0.631305218;-0.624814928;-0.638062;-0.644724488;-0.536659837;-0.565868735
Eritrea;-0.356740594;-0.345125645;-0.438918501;-0.39304927;-0.494216919;-0.5593853;-0.629201293;-0.775439322;-0.90179193;-0.891285539;-1.301142812;-1.306709766;-1.20288527;-1.31618464
Spain;1.336209059;1.185721397;1.0866431;1.190226078;1.062199712;1.084354401;1.104123712;1.128225803;0.903092504;0.629841745;0.583900213;0.515630543;0.491772741;0.613605201
Estonia;1.032414436;1.020036578;1.003259063;0.990575671;1.007584095;0.995167315;1.052501321;1.096038103;1.188760996;1.303455591;1.293648124;1.272345304;1.242426515;1.506536484
Ethiopia;-0.770080328;-0.646135807;-0.628745317;-0.664216995;-0.701390207;-0.690625668;-0.657939911;-0.602590203;-0.494946271;-0.444255531;-0.45017615;-0.417036772;-0.557486892;-0.486217111
Finland;2.325073004;2.464972258;2.40054965;2.337259531;2.251192331;2.159788132;2.198592424;2.235261202;2.202126265;2.165774584;2.275324106;2.239527702;2.215836048;2.212743521
Fiji;-0.301722944;0.008832237;-0.046587173;-0.048133511;-0.342416376;-0.459091842;-0.125876456;-0.110103369;-0.121098489;0.179258391;0.169919163;0.130291954;0.35905087;0.381064266
France;1.366184831;1.463726521;1.464608192;1.407428026;1.438242078;1.466379523;1.532393575;1.455788136;1.329576135;1.314697027;1.305665612;1.400143027;1.25949657;1.317085624
