Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Low & middle income;5374446866;5447074437;5519916437;5593451953;5667768721;5742542551;5818138357;5894259181;5971275701;6048823568;6126712591;6205230249;6284034658;6361417194
Lesotho;1996114;1989939;1986922;1987129;1990131;1995581;2003787;2014990;2028519;2043437;2059021;2075001;2091412;2108132
Late-demographic dividend;2114307497;2127750968;2140907334;2154245142;2167842734;2180828824;2193830506;2206932754;2220299295;2233869138;2247409050;2261409324;2275525382;2287833784
Lithuania;3322528;3269909;3231294;3198231;3162916;3097282;3028115;2987773;2957689;2932367;2904910;2868231;2828403;2801543
Luxembourg;465158;472637;479993;488650;497783;506953;518347;530946;543360;556319;569604;582014;596336;607950
Latvia;2238799;2218357;2200325;2177322;2141669;2097555;2059709;2034319;2012647;1993782;1977527;1959537;1942248;1927174
Macao SAR, China;482858;493799;504511;515239;526400;538219;550832;564039;577372;590208;602085;612836;622585;631636
St. Martin (French part);34248;35237;36137;36885;37377;37582;37446;37009;36453;36015;35858;36065;36560;37264
Morocco;30455561;30804683;31163673;31536811;31929087;32343389;32781850;33241898;33715693;34192347;34663603;35126296;35581294;36029138
Monaco;33843;34190;34525;34872;35226;35612;36024;36460;36901;37322;37718;38070;38392;38682
Moldova;2888111;2880095;2873429;2867964;2864346;2861487;2859833;2859458;2858692;2856950;2834530;2802170;2755158;2706049
Madagascar;18336724;18880269;19433530;19996473;20569117;21151640;21743967;22346641;22961253;23589887;24234088;24894380;25570540;26262368
Maldives;319608;327487;335169;343452;353398;365734;380495;397237;415593;435015;454915;475513;496402;515696
Middle East & North Africa;347029874;354302463;361929136;369823252;377883993;385917886;393944527;401974219;409977872;417932241;425821770;433597628;441255236;448912962
Mexico;106005203;107560153;109170502;110815271;112463887;114092963;115695473;117274155;118827161;120355128;121858258;123333376;124777324;126190788
Marshall Islands;55258;55767;56051;56174;56250;56366;56531;56717;56938;57179;57439;57735;58058;58413
Middle income;4911767221;4971147430;5030411018;5090127277;5150500970;5211282523;5272872099;5334923657;5397692103;5460648859;5523478050;5586449408;5649237966;5710089607
North Macedonia;2060273;2063131;2065426;2067313;2069039;2070741;2072487;2074278;2076067;2077775;2079328;2080745;2081996;2082958
Mali;12775516;13203378;13651464;14113577;14581429;15049353;15514591;15979499;16449864;16934220;17438778;17965429;18512394;19077690
Malta;403834;405308;406724;409379;412477;414508;416268;420028;425967;434558;445053;455356;467999;484630
Myanmar;48949924;49301050;49621475;49929642;50250367;50600818;50990615;51413698;51852451;52280807;52680726;53045226;53382581;53708395
Middle East & North Africa (excluding high income);304755503;310109412;315573347;321168767;326900984;332777824;338814807;345004009;351299193;357637340;363975550;370276461;376546755;382896715
Montenegro;614261;615025;615875;616969;618294;619428;620079;620601;621207;621810;622159;622303;622373;622227
Mongolia;2526424;2558856;2593820;2631898;2673796;2719896;2770362;2824699;2881792;2940108;2998439;3056359;3113779;3170208
Northern Mariana Islands;56542;55882;55219;54625;54193;53971;54012;54311;54784;55305;55780;56188;56562;56882
Mozambique;20493925;21080110;21673316;22276596;22894710;23531574;24187487;24862648;25560725;26286163;27042002;27829942;28649007;29495962
Mauritania;3024194;3111906;3202517;3296238;3393409;3494195;3598648;3706554;3817494;3930896;4046301;4163534;4282574;4403319
Mauritius;1228254;1233996;1239630;1244121;1247429;1250400;1252404;1255882;1258653;1260934;1262605;1263473;1264613;1265303
Malawi;12625952;12973699;13341806;13727890;14128155;14539612;14962112;15396005;15839269;16289540;16745303;17205289;17670260;18143315
Malaysia;25690611;26201961;26720370;27236006;27735040;28208035;28650955;29068159;29468872;29866559;30270962;30684804;31105028;31528585
North America;327824506;331015609;334185120;337406357;340466060;343391679;345960766;348610010;351141670;353803581;356403308;359115352;361592733;363809186
Namibia;1938320;1971317;2006514;2043394;2081044;2118874;2156701;2194784;2233510;2273430;2314904;2358041;2402603;2448255
New Caledonia;232250;235750;239250;242750;245950;249750;254350;259000;263650;268050;272400;276550;280350;284060
Niger;13624467;14143971;14685399;15250908;15843133;16464025;17114761;17795191;18504255;19240157;20001663;20788838;21602472;22442948
Nigeria;138865016;142538308;146339977;150269623;154324933;158503197;162805071;167228767;171765769;176404902;181137448;185960289;190873311;195874740
Nicaragua;5438690;5513763;5590055;5667432;5745526;5824065;5903039;5982526;6062454;6142733;6223240;6303974;6384855;6465513
Netherlands;16319868;16346101;16381696;16445593;16530388;16615394;16693074;16754962;16804432;16865008;16939923;17030314;17131296;17231624
Norway;4623291;4660677;4709153;4768212;4828726;4889252;4953088;5018573;5079623;5137232;5188607;5234519;5276968;5311916
Nepal;25744500;26066693;26382581;26666576;26883535;27013212;27041437;26989862;26917906;26906926;27015031;27261131;27627124;28087871
Nauru;9849;9828;9842;9891;9939;10005;10057;10279;10821;11853;12475;13049;12876;12704
New Zealand;4133900;4184600;4223800;4259800;4302600;4350700;4384000;4408100;4442100;4509700;4595700;4693200;4793900;4841000
OECD members;1241535826;1250788448;1260210156;1270059587;1279114140;1287527866;1294064382;1302076238;1310420937;1319151470;1327822047;1336641415;1344863242;1352633507
Oman;2511251;2580758;2657158;2750963;2876186;3041434;3251108;3498029;3764805;4027260;4267348;4479219;4665935;4829483
Other small states;22929109;23486218;24104670;24762406;25417830;26050942;26647962;27227319;27794595;28364410;28948869;29542879;30148800;30760211
Pakistan;160304008;164022627;167808105;171648986;175525609;179424641;183340592;187281475;191262919;195306825;199426964;203627284;207896686;212215030
Panama;3330217;3391666;3453675;3516204;3579215;3642687;3706483;3770624;3835437;3901315;3968487;4037078;4106771;4176873
Peru;27866145;28102056;28333052;28562317;28792655;29027674;29264318;29506788;29773987;30090359;30470734;30926032;31444297;31989256
Philippines;86326250;87888675;89405482;90901965;92414158;93966780;95570047;97212638;98871552;100513138;102113212;103663927;105173264;106651922
Palau;19781;19540;19158;18704;18285;17955;17745;17640;17606;17626;17665;17725;17808;17907
Papua New Guinea;6494903;6646895;6808514;6976201;7144776;7310507;7472200;7631002;7788379;7946731;8107775;8271760;8438029;8606316
Poland;38165445;38141267;38120560;38125759;38151603;38042794;38063255;38063164;38040196;38011735;37986412;37970087;37974826;37974750
Pre-demographic dividend;635451653;653695022;672318833;691447610;711257522;731868772;753326798;775573001;798495530;821931240;845759344;869943914;894512725;919485393
Puerto Rico;3821362;3805214;3782995;3760866;3740410;3721525;3678732;3634488;3593077;3534874;3473232;3406672;3325286;3193354
Korea, Dem. People’s Rep.;23904167;24054864;24188331;24310142;24428341;24548836;24673385;24800612;24929452;25057752;25183833;25307744;25429985;25549819
Portugal;10503330;10522288;10542964;10558177;10568247;10573100;10557560;10514844;10457295;10401062;10358076;10325452;10300300;10283822
Paraguay;5824096;5913209;5998427;6081296;6163972;6248020;6333976;6421512;6510276;6599526;6688746;6777872;6867062;6956071
West Bank and Gaza;3320396;3406334;3494496;3591977;3689099;3786161;3882986;3979998;4076708;4173398;4270092;4367088;4454805;4569087
Pacific island small states;2074778;2100869;2128664;2157454;2186314;2214519;2241798;2268708;2296101;2325136;2355672;2388307;2422086;2457367
Post-demographic dividend;1046366694;1052054839;1057981931;1064394156;1069878414;1074865103;1077815367;1082327434;1087064112;1091996107;1096860060;1101715022;1105771602;1109441474
French Polynesia;258780;261010;262721;264061;265254;266455;267698;268998;270328;271705;273124;274575;276103;277679
Qatar;865416;1022711;1218434;1436665;1654950;1856327;2035871;2196074;2336574;2459198;2565710;2654374;2724724;2781677
Romania;21319685;21193760;20882982;20537875;20367487;20246871;20147528;20058035;19983693;19908979;19815616;19702267;19587290;19472545
Russian Federation;143518814;143049637;142805114;142742366;142785349;142849468;142960908;143201721;143506995;143819666;144096870;144342396;144496740;144477860
Rwanda;8840215;9043337;9273757;9524534;9782770;10039338;10293331;10549678;10811543;11083635;11369071;11668818;11980937;12301939
South Asia;1518861552;1543610696;1568003159;1592010819;1615610198;1638792934;1661534412;1683747130;1705772050;1727640967;1749417068;1771167194;1792835608;1814388744
Saudi Arabia;23816183;24498310;25184597;25888541;26630303;27421461;28267685;29155187;30052518;30916994;31717667;32442572;33099147;33699947
Sudan;30949516;31661823;32360621;33060837;33783788;34545013;35349681;36193783;37072550;37977655;38902950;39847440;40813396;41801533
Senegal;11090116;11382268;11687080;12004701;12335084;12678148;13033809;13401991;13782420;14174731;14578459;14993528;15419381;15854360
Singapore;4265762;4401365;4588599;4839396;4987573;5076732;5183688;5312437;5399162;5469724;5535002;5607283;5612253;5638676
Solomon Islands;469918;481078;492132;503360;515181;527861;541521;556064;571335;587079;603118;619437;636038;652858
Sierra Leone;5645624;5829237;5989633;6133603;6272734;6415634;6563240;6712581;6863980;7017144;7171914;7328838;7488431;7650154
El Salvador;6052123;6079399;6105810;6131764;6157686;6183875;6210568;6237923;6266070;6295128;6325124;6356143;6388122;6420744
San Marino;29324;29700;30063;30434;30816;31229;31661;32105;32553;32948;33272;33504;33671;33785
Somalia;10446863;10763905;11080121;11397188;11717692;12043883;12376302;12715510;13063706;13423576;13797201;14185613;14589119;15008154
Serbia;7440769;7411569;7381579;7350222;7320807;7291436;7234099;7199077;7164132;7130576;7095383;7058322;7020858;6982604
Sub-Saharan Africa (excluding high income);757613569;778248224;799583871;821614380;844320487;867684936;891706327;916382788;941692468;967607494;994102454;1021168391;1048793216;1076944455
South Sudan;7535932;7907406;8315139;8736939;9142259;9508364;9830698;10113647;10355036;10554883;10715658;10832512;10910759;10975920
Sub-Saharan Africa;758924681;779566820;800908534;822945457;845655214;869025106;893046172;917726973;943041070;968959787;995458478;1022526541;1050153672;1078306520
Small states;31746604;32375210;33066727;33798838;34529596;35238667;35912147;36568692;37214028;37862981;38526753;39200572;39885876;40576543
Sao Tome and Principe;157472;161681;166300;171120;175876;180371;184524;188404;192087;195727;199432;203227;207089;211028
Suriname;499464;505295;511181;517123;523111;529131;535179;541245;547291;553273;559143;564888;570496;575991
Slovakia;5372807;5373054;5374622;5379233;5386406;5391428;5398384;5407579;5413393;5418649;5423801;5430798;5439232;5446771
Slovenia;2000474;2006868;2018122;2021316;2039669;2048583;2052843;2057159;2059953;2061980;2063531;2065042;2066388;2073894
Sweden;9029572;9080505;9148092;9219637;9298515;9378126;9449213;9519374;9600379;9696110;9799186;9923085;10057698;10175214
Eswatini;1030579;1036092;1042652;1049945;1057467;1064837;1072032;1079288;1086839;1095021;1104044;1113984;1124753;1136191
Sint Maarten (Dutch part);33011;33441;33811;33964;34238;34056;33435;34640;36607;37685;38825;39969;40574;40654
Seychelles;82858;84600;85033;86956;87298;89770;87441;88303;89949;91359;93419;94677;95843;96762
Syrian Arab Republic;18361176;19059258;19878254;20664038;21205873;21362529;21082966;20442541;19584274;18715672;17997408;17453933;17068002;16906283
Turks and Caicos Islands;28180;29391;30385;31202;31934;32660;33377;34066;34731;35369;35981;36559;37115;37665
Chad;10096633;10457124;10818024;11183588;11560147;11952136;12360989;12784750;13220424;13663559;14110975;14561666;15016773;15477751
