"Bacteria","Country","Region","Code","Year","R_multi","DDD_sys_commun","per_cap_US","GDP_total","GDP_health","Out_pocket_exp","income_pc","rural_pop","HDR","ctrl_corrup","GOV_effect","rule_law","total_pop"
"Escherichia coli","Malta","Southern","MT",2009,0.120253164,18.6035,1677,20675.58259,8.08,32.45967627,19520,5.999,0.835,0.772958219,1.173995137,1.480706453,412477
"Escherichia coli","Netherlands","Western","NL",2009,0.014126712,10.1139,5262,52514.02712,9.99,9.069506824,53670,13.712,0.906,2.13432312,1.739726305,1.814506173,16530388
"Escherichia coli","Norway","Northern","NO",2009,0.006568144,14.8862,7302,79977.69708,9.06,15.25448412,87910,21.185,0.938,1.994785309,1.841374755,1.881072044,4828726
"Escherichia coli","Poland","Eastern","PL",2009,0.013779527,20.0809,759.6,11527.53442,6.59,24.51955527,12530,38.996,0.828,0.445084333,0.531756818,0.62840575,38151603
"Escherichia coli","Portugal","Southern","PT",2009,0.052659574,19.134,2279,23059.79745,9.88,24.60703701,22920,40.036,0.817,1.092931271,1.156264782,1.064921498,10568247
"Escherichia coli","Romania","Eastern","RO",2009,0.127272727,9.6463,449.4,8548.118672,5.28,20.78450471,9220,46.302,0.798,-0.262549967,-0.359749705,0.045407757,20367487
"Escherichia coli","Sweden","Northern","SE",2009,0.008681204,13.6945,4152,46946.96027,8.93,16.90623462,52470,15.098,0.899,2.253190994,2.045358896,1.965965271,9298515
"Escherichia coli","Slovenia","Southern","SI",2009,0.024636058,11.9269,2117,24694.23056,8.56,12.77988851,24380,47.567,0.877,1.058565736,1.154733896,1.07542634,2039669
"Escherichia coli","United Kingdom","Northern","UK",2009,0.039823009,15.1974,3274,38713.13743,8.48,9.372603148,44220,18.969,0.899,1.632727146,1.512003183,1.7389853,62276270
"Escherichia coli","Austria","Western","AT",2010,0.019070735,13.1338,4796,46858.04327,10.22,18.60162616,49610,42.601,0.895,1.585461736,1.841762662,1.800300002,8363404
"Escherichia coli","Belgium","Western","BE",2010,0.009603073,23.1055,4450,44141.87814,9.97,18.17270666,46950,2.349,0.903,1.527498484,1.575025916,1.393127918,10895586
"Escherichia coli","Bulgaria","Eastern","BG",2010,0.074324324,15.8428,484.8,6809.898984,7.11,43.14134419,6940,27.698,0.779,-0.185103625,0.114835203,-0.069240548,7395599
"Escherichia coli","Cyprus","Southern","CY",2010,0.086956522,26.2621,1959,31023.63833,6.28,40.94297886,32040,32.449,0.85,0.974873543,1.531830311,1.216248751,1112612
"Escherichia coli","Czechia","Eastern","CZ",2010,0.029435814,16.0064,1374,19808.07109,6.93,15.25087506,19280,26.745,0.862,0.331638575,0.905217707,0.949479163,10474410
"Escherichia coli","Germany","Western","DE",2010,0.035892323,13.3884,4597,41531.9342,11.01,14.04069811,44550,23.034,0.92,1.776269913,1.571171761,1.631237388,81776930
"Escherichia coli","Denmark","Northern","DK",2010,0.02372035,15.8742,6012,58041.39844,10.33,14.38572407,61220,13.205,0.91,2.358993053,2.096789598,1.897532105,5547683
"Escherichia coli","Estonia","Northern","EE",2010,0.015936255,9.811,926.5,14790.82122,6.33,21.91824913,14700,31.906,0.844,0.995167315,1.085700631,1.159708977,1331475
"Escherichia coli","Greece","Southern","EL",2010,0.094694426,35.558,2574,26917.75898,9.56,28.12847197,27660,23.708,0.857,-0.057776872,0.556039333,0.630501211,11121341
"Escherichia coli","Spain","Southern","ES",2010,0.054599719,16.194,2775,30502.71971,9.01,20.75950205,31880,21.558,0.865,1.084354401,0.994798839,1.188944459,46576897
"Escherichia coli","Finland","Northern","FI",2010,0.019006479,17.0141,4100,46459.97325,8.88,19.96495873,49600,16.23,0.903,2.159788132,2.2293396,1.968725324,5363352
"Escherichia coli","France","Western","FR",2010,0.028225358,23.2071,4593,40638.334,11.24,10.22069007,43850,21.631,0.872,1.466379523,1.430300951,1.519731045,65027507
"Escherichia coli","Croatia","Southern","HR",2010,0.025258324,17.1814,1126,13923.62858,8.1,13.95677775,14070,44.845,0.811,0.059268434,0.622320652,0.201946497,4295427
"Escherichia coli","Hungary","Eastern","HU",2010,0.154919236,13.6198,983.1,13113.52596,7.52,27.44554877,13190,31.089,0.826,0.365650147,0.666669607,0.780267775,10000023
"Escherichia coli","Ireland","Northern","IE",2010,0.028436019,17.3857,5128,48715.17686,10.5,13.79563659,44880,38.458,0.89,1.688269019,1.349588037,1.768064141,4560155
"Escherichia coli","Iceland","Northern","IS",2010,0.010526316,19.8185,3645,43024.92349,8.53,18.18674654,36250,6.426,0.892,1.942624211,1.585731506,1.713806868,318041
"Escherichia coli","Italy","Southern","IT",2010,0.10192953,23.0233,3215,36000.52012,8.95,20.54892778,37850,31.673,0.871,0.126922861,0.44190973,0.430328697,59277417
"Escherichia coli","Lithuania","Northern","LT",2010,0.054380665,14.411,805.2,11957.08421,6.82,27.59107947,12560,33.243,0.824,0.376731932,0.743253648,0.782363355,3097282
"Escherichia coli","Luxembourg","Western","LU",2010,0.016949152,23.1935,7452,104965.3061,7.03,10.23235396,78220,11.453,0.893,2.046461344,1.721773505,1.85144341,506953
"Escherichia coli","Latvia","Northern","LV",2010,0.06185567,9.9464,689.1,11348.40623,6.15,37.18564808,12580,32.159,0.817,0.228307128,0.708809972,0.787803769,2097555
"Escherichia coli","Malta","Southern","MT",2010,0.135416667,18.0963,1734,21107.36443,8.21,33.02583098,20540,5.928,0.847,0.790017307,1.192727447,1.416975498,414508
"Escherichia coli","Netherlands","Western","NL",2010,0.018095521,10.008,5187,50950.03434,10.16,9.095671028,53900,12.866,0.911,2.143759251,1.729365945,1.819352388,16615394
"Escherichia coli","Norway","Northern","NO",2010,0.013864043,15.4061,7860,87693.79007,8.9,15.04647136,88560,20.898,0.942,2.085211277,1.878928065,1.897269487,4889252
"Escherichia coli","Poland","Eastern","PL",2010,0.029363785,17.9982,809.2,12599.53358,6.42,23.86526614,12770,39.108,0.835,0.497079551,0.640948951,0.683574736,38042794
"Escherichia coli","Portugal","Southern","PT",2010,0.064805058,18.612,2213,22498.69086,9.82,24.55263883,22960,39.433,0.822,1.090370893,1.010234594,1.05659771,10573100
"Escherichia coli","Romania","Eastern","RO",2010,0.0625,25.9402,472.2,8209.919456,5.77,19.63123679,8640,46.171,0.797,-0.226526499,-0.265529186,0.048213527,20246871
"Escherichia coli","Sweden","Northern","SE",2010,0.011826544,13.7565,4437,52869.04429,8.48,16.94122553,54580,14.944,0.906,2.274586916,2.004213095,1.955096722,9378126
